circuit_id,circuit_name,country,city,length_in_km,void
bahrain_international_circuit,Bahrain International Circuit,Bahrain,Sakhir,5.412,
imola_circuit,Autodromo Internazionale Enzo e Dino Ferrari,Italy,Imola,4.909,
algarve_internatioal_circuit,Algarve International Circuit,Portugal,Portimão,4.653,
circuit_de_barcelona_catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,4.657,
circuit_de_monaco,Circuit de Monaco,Monaco,Monaco,3.337,
baku_city_circuit,Baku City Circuit,Baku,Azerbaijan,6.003,
circuit_paul_ricard,Circuit Paul Ricard,France,Le Castellet,5.842,
red_bull_ring,Red Bull Ring,Austria,Spielberg,4.318,
silverstone_circuit,Silverstone Circuit,England,Silverstone,5.891,
hungaroring,Hungaroring,Hungary,Mogyoród,4381,
circuit_de_spa_francorchamps,Circuit de Spa-Francorchamps,Belgium,Stavelot,7.004,
circuit_zandvoort,Circuit Zandvoort,Netherlands,Zandvoort,4.259,
monza_circuit,Monza Circuit,Italy,Monza,5.793,
sochi_autodrom,Sochi Autodrom,Russia,Sochi,5.848,
istanbul_park,Intercity Istanbul Park,Turkey,Istanbul,5.338,
cota,Circuit of The Americas,United States of America,Austin(Texas),5.514,
autodromo_hermanos_rodriguez,Autódromo Hermanos Rodríguez,Mexico,Mexico City,4.304,
interlagos_circuit,Autódromo José Carlos Pace,Brazil,São Paulo,4.309,
losail_international_circuit,Losail International Circuit,Qatar,Losail,5.380,
jeddah_corniche_circuit,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,6.174,
yas_marina_circuit,Yas Marina Circuit,United Arab Emirates,Abu Dhabi,5.281,
albert_park_circuit,Albert Park Circuit,Australia,Melbourne,5.278,
miami_international_autodrome,Miami International Autodrome,United States of America,Miami Gardens(Florida),5.412,
circuit_gilles_villenueve,Circuit Gilles Villeneuve,Canada,Montreal,4.361,
marina_bay_street_circuit,Marina Bay Street Circuit,Singapore,Singapore,5.063,
suzuka_circuit,Suzuka International Racing Course,Japan,Suzuka City,5.807,