year,round,circuit_id,race_date,void
2021,1,bahrain_international_circuit,2021-03-28,
2021,2,imola_circuit,2021-04-18,
2021,3,algarve_internatioal_circuit,2021-05-02,
2021,4,circuit_de_barcelona_catalunya,2021-05-09,
2021,5,circuit_de_monaco,2021-05-23,
2021,6,baku_city_circuit,2021-06-06,
2021,7,circuit_paul_ricard,2021-06-20,
2021,8,red_bull_ring,2021-06-27,
2021,9,red_bull_ring,2021-07-04,
2021,10,silverstone_circuit,2021-07-18,
2021,11,hungaroring,2021-08-01,
2021,12,circuit_de_spa_francorchamps,2021-08-29,
2021,13,circuit_zandvoort,2021-09-05,
2021,14,monza_circuit,2021-09-12,
2021,15,sochi_autodrom,2021-09-26,
2021,16,istanbul_park,2021-10-10,
2021,17,cota,2021-10-24,
2021,18,autodromo_hermanos_rodriguez,2021-11-07,
2021,19,interlagos_circuit,2021-11-14,
2021,20,losail_international_circuit,2021-11-21,
2021,21,jeddah_corniche_circuit,2021-12-05,
2021,22,yas_marina_circuit,2021-12-12,
2022,1,bahrain_international_circuit,2022-03-20,
2022,2,jeddah_corniche_circuit,2022-03-27,
2022,3,albert_park_circuit,2022-04-10,
2022,4,imola_circuit,2022-04-24,
2022,5,miami_international_autodrome,2022-05-08,
2022,6,circuit_de_barcelona_catalunya,2022-05-22,
2022,7,circuit_de_monaco,2022-05-29,
2022,8,baku_city_circuit,2022-06-12,
2022,9,circuit_gilles_villenueve,2022-06-19,
2022,10,silverstone_circuit,2022-07-03,
2022,11,red_bull_ring,2022-07-10,
2022,12,circuit_paul_ricard,2022-07-24,
2022,13,hungaroring,2022-07-31,
2022,14,circuit_de_spa_francorchamps,2022-08-28,
2022,15,circuit_zandvoort,2022-09-04,
2022,16,monza_circuit,2022-09-11,
2022,17,marina_bay_street_circuit,2022-10-02,
2022,18,suzuka_circuit,2022-10-09,
2022,19,cota,2022-10-23,
2022,20,autodromo_hermanos_rodriguez,2022-10-30,
2022,21,interlagos_circuit,2022-11-13,
2022,22,yas_marina_circuit,2022-11-20,
2023,1,bahrain_international_circuit,2023-03-05,
2023,2,jeddah_corniche_circuit,2023-03-19,
2023,3,albert_park_circuit,2023-04-02,
2023,4,baku_city_circuit,2023-04-30,