circuit_id,circuit_name,country,city,length_in_km,url,void
bahrain_international_circuit,Bahrain International Circuit,Bahrain,Sakhir,5.412,https://en.wikipedia.org/wiki/Bahrain_International_Circuit,
imola_circuit,Autodromo Internazionale Enzo e Dino Ferrari,Italy,Imola,4.909,https://en.wikipedia.org/wiki/Imola_Circuit,
algarve_internatioal_circuit,Algarve International Circuit,Portugal,Portimão,4.653,https://en.wikipedia.org/wiki/Algarve_International_Circuit,
circuit_de_barcelona_catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,4.657,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,
circuit_de_monaco,Circuit de Monaco,Monaco,Monaco,3.337,https://en.wikipedia.org/wiki/Circuit_de_Monaco,
baku_city_circuit,Baku City Circuit,Baku,Azerbaijan,6.003,https://en.wikipedia.org/wiki/Baku_City_Circuit,
circuit_paul_ricard,Circuit Paul Ricard,France,Le Castellet,5.842,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard,
red_bull_ring,Red Bull Ring,Austria,Spielberg,4.318,https://en.wikipedia.org/wiki/Red_Bull_Ring,
silverstone_circuit,Silverstone Circuit,England,Silverstone,5.891,https://en.wikipedia.org/wiki/Silverstone_Circuit,
hungaroring,Hungaroring,Hungary,Mogyoród,4381,https://en.wikipedia.org/wiki/Hungaroring,
circuit_de_spa_francorchamps,Circuit de Spa-Francorchamps,Belgium,Stavelot,7.004,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,
circuit_zandvoort,Circuit Zandvoort,Netherlands,Zandvoort,4.259,https://en.wikipedia.org/wiki/Circuit_Zandvoort,
monza_circuit,Monza Circuit,Italy,Monza,5.793,https://en.wikipedia.org/wiki/Monza_Circuit,
sochi_autodrom,Sochi Autodrom,Russia,Sochi,5.848,https://en.wikipedia.org/wiki/Sochi_Autodrom,
istanbul_park,Intercity Istanbul Park,Turkey,Istanbul,5.338,https://en.wikipedia.org/wiki/Istanbul_Park,
cota,Circuit of The Americas,United States of America,Austin(Texas),5.514,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,
autodromo_hermanos_rodriguez,Autódromo Hermanos Rodríguez,Mexico,Mexico City,4.304,https://en.wikipedia.org/wiki/Autódromo_Hermanos_Rodríguez,
interlagos_circuit,Autódromo José Carlos Pace,Brazil,São Paulo,4.309,https://en.wikipedia.org/wiki/Interlagos_Circuit,
losail_international_circuit,Losail International Circuit,Qatar,Losail,5.380,https://en.wikipedia.org/wiki/Losail_International_Circuit,
jeddah_corniche_circuit,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,6.174,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit,
yas_marina_circuit,Yas Marina Circuit,United Arab Emirates,Abu Dhabi,5.281,https://en.wikipedia.org/wiki/Yas_Marina_Circuit,
albert_park_circuit,Albert Park Circuit,Australia,Melbourne,5.278,https://en.wikipedia.org/wiki/Albert_Park_Circuit,
miami_international_autodrome,Miami International Autodrome,United States of America,Miami Gardens(Florida),5.412,https://en.wikipedia.org/wiki/Miami_International_Autodrome,
circuit_gilles_villenueve,Circuit Gilles Villeneuve,Canada,Montreal,4.361,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,
marina_bay_street_circuit,Marina Bay Street Circuit,Singapore,Singapore,5.063,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,
suzuka_circuit,Suzuka International Racing Course,Japan,Suzuka City,5.807,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,