year,round,circuit_id,gp_name,race_date,url,void
2021,1,bahrain_international_circuit,Bahrain Grand Prix,2021-03-28,https://www.formula1.com/en/racing/2021/Bahrain.html,
2021,2,imola_circuit,Emilia Romagna Grand Prix,2021-04-18,https://www.formula1.com/en/racing/2021/EmiliaRomagna.html,
2021,3,algarve_internatioal_circuit,Portuguese Grand Prix,2021-05-02,https://www.formula1.com/en/racing/2021/Portugal.html,
2021,4,circuit_de_barcelona_catalunya,Spanish Grand Prix,2021-05-09,https://www.formula1.com/en/racing/2021/Spain.html,
2021,5,circuit_de_monaco,Monaco Grand Prix,2021-05-23,https://www.formula1.com/en/racing/2021/Monaco.html,
2021,6,baku_city_circuit,Azerbaijan Grand Prix,2021-06-06,https://www.formula1.com/en/racing/2021/Azerbaijan.html,
2021,7,circuit_paul_ricard,French Grand Prix,2021-06-20,https://www.formula1.com/en/racing/2021/France.html,
2021,8,red_bull_ring,Styrian Grand Prix,2021-06-27,https://www.formula1.com/en/racing/2021/Styria.html,
2021,9,red_bull_ring,Austrian Grand Prix,2021-07-04,https://www.formula1.com/en/racing/2021/Austria.html,
2021,10,silverstone_circuit,British Grand Prix,2021-07-18,https://www.formula1.com/en/racing/2021/Great_Britain.html,
2021,11,hungaroring,Hungarian Grand Prix,2021-08-01,https://www.formula1.com/en/racing/2021/Hungary.html,
2021,12,circuit_de_spa_francorchamps,Belgian Grand Prix,2021-08-29,https://www.formula1.com/en/racing/2021/Belgium.html,
2021,13,circuit_zandvoort,Dutch Grand Prix,2021-09-05,https://www.formula1.com/en/racing/2021/Netherlands.html,
2021,14,monza_circuit,Italian Grand Prix,2021-09-12,https://www.formula1.com/en/racing/2021/Italy.html,
2021,15,sochi_autodrom,Russian Grand Prix,2021-09-26,https://www.formula1.com/en/racing/2021/Russia.html,
2021,16,istanbul_park,Turkish Grand Prix,2021-10-10,https://www.formula1.com/en/racing/2021/Turkey.html,
2021,17,cota,United States Grand Prix,2021-10-24,https://www.formula1.com/en/racing/2021/United_States.html,
2021,18,autodromo_hermanos_rodriguez,Mexico City Grand Prix,2021-11-07,https://www.formula1.com/en/racing/2021/Mexico.html,
2021,19,interlagos_circuit,São Paulo Grand Prix,2021-11-14,https://www.formula1.com/en/racing/2021/Brazil.html,
2021,20,losail_international_circuit,Qatar Grand Prix,2021-11-21,https://www.formula1.com/en/racing/2021/Qatar.html,
2021,21,jeddah_corniche_circuit,Saudi Arabia Grand Prix,2021-12-05,https://www.formula1.com/en/racing/2021/Saudi_Arabia.html,
2021,22,yas_marina_circuit,Abu Dhabi Grand Prix,2021-12-12,https://www.formula1.com/en/racing/2021/United_Arab_Emirates.html,
2022,1,bahrain_international_circuit,Bahrain Grand Prix,2022-03-20,https://www.formula1.com/en/racing/2022/Bahrain.html,
2022,2,jeddah_corniche_circuit,Saudi Arabian Grand Prix,2022-03-27,https://www.formula1.com/en/racing/2022/Saudi_Arabia.html,
2022,3,albert_park_circuit,Australian Grand Prix,2022-04-10,https://www.formula1.com/en/racing/2022/Australia.html,
2022,4,imola_circuit,Emilia Romagna Grand Prix,2022-04-24,https://www.formula1.com/en/racing/2022/EmiliaRomagna.html,
2022,5,miami_international_autodrome,Miami Grand Prix,2022-05-08,https://www.formula1.com/en/racing/2022/Miami.html,
2022,6,circuit_de_barcelona_catalunya,Spanish Grand Prix,2022-05-22,https://www.formula1.com/en/racing/2022/Spain.html,
2022,7,circuit_de_monaco,Monaco Grand Prix,2022-05-29,https://www.formula1.com/en/racing/2022/Monaco.html,
2022,8,baku_city_circuit,Azerbaijan Grand Prix,2022-06-12,https://www.formula1.com/en/racing/2022/Azerbaijan.html,
2022,9,circuit_gilles_villenueve,Canadian Grand Prix,2022-06-19,https://www.formula1.com/en/racing/2022/Canada.html,
2022,10,silverstone_circuit,British Grand Prix,2022-07-03,https://www.formula1.com/en/racing/2022/Great_Britain.html,
2022,11,red_bull_ring,Austrian Grand Prix,2022-07-10,https://www.formula1.com/en/racing/2022/Austria.html,
2022,12,circuit_paul_ricard,French Grand Prix,2022-07-24,https://www.formula1.com/en/racing/2022/France.html,
2022,13,hungaroring,Hungarian Grand Prix,2022-07-31,https://www.formula1.com/en/racing/2022/Hungary.html,
2022,14,circuit_de_spa_francorchamps,Belgian Grand Prix,2022-08-28,https://www.formula1.com/en/racing/2022/Belgium.html,
2022,15,circuit_zandvoort,Dutch Grand Prix,2022-09-04,https://www.formula1.com/en/racing/2022/Netherlands.html,
2022,16,monza_circuit,Italian Grand Prix,2022-09-11,https://www.formula1.com/en/racing/2022/Italy.html,
2022,17,marina_bay_street_circuit,Singapore Grand Prix,2022-10-02,https://www.formula1.com/en/racing/2022/Singapore.html,
2022,18,suzuka_circuit,Japanese Grand Prix,2022-10-09,https://www.formula1.com/en/racing/2022/Japan.html,
2022,19,cota,United States Grand Prix,2022-10-23,https://www.formula1.com/en/racing/2022/United_States.html,
2022,20,autodromo_hermanos_rodriguez,Mexico City Grand Prix,2022-10-30,https://www.formula1.com/en/racing/2022/Mexico.html,
2022,21,interlagos_circuit,São Paulo Grand Prix,2022-11-13,https://www.formula1.com/en/racing/2022/Brazil.html,
2022,22,yas_marina_circuit,Abu Dhabi Grand Prix,2022-11-20,https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html,
2023,1,bahrain_international_circuit,Bahrain Grand Prix,2023-03-05,https://www.formula1.com/en/racing/2023/Bahrain.html,
2023,2,jeddah_corniche_circuit,Saudi Arabia Grand Prix,2023-03-19,https://www.formula1.com/en/racing/2023/Saudi_Arabia.html,
2023,3,albert_park_circuit,Australia Grand Prix,2023-04-02,https://www.formula1.com/en/racing/2023/Australia.html,
2023,4,baku_city_circuit,Azerbaijan Grand Prix,2023-04-30,https://www.formula1.com/en/racing/2023/Azerbaijan.html,
2023,5,miami_international_autodrome,Miami Grand Prix,2023-05-07,https://www.formula1.com/en/racing/2023/Miami.html,